Date,Day,Actual,SVR,SVR_Err,XGBoost,XGBoost_Err,Random_Forest,Random_Forest_Err,Stacking_Ensemble,Stacking_Ensemble_Err
2024-01-08,Monday,$70.77,$75.62,6.86%,$73.52,3.89%,$73.99,4.54%,$75.07,6.08%
2024-01-09,Tuesday,$72.24,$72.89,0.89%,$70.54,2.36%,$70.32,2.66%,$71.91,0.46%
2024-01-10,Wednesday,$71.37,$74.21,3.99%,$72.06,0.97%,$72.24,1.22%,$73.53,3.03%
2024-01-11,Thursday,$72.02,$73.45,1.99%,$71.43,0.82%,$71.35,0.93%,$72.72,0.97%
2024-01-12,Friday,$72.68,$73.97,1.78%,$71.67,1.40%,$71.91,1.06%,$73.22,0.74%
